"Title","Release.Year","Locations","Fun.Facts","Production.Company","Distributor","Director","Writer","Actor.1","Actor.2","Actor.3","lon","lat"
"180",2011,"Epic Roasthouse (399 Embarcadero)","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.3890417,37.7904926
"180",2011,"Mason & California Streets (Nob Hill)","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-84.309939,39.3600586
"180",2011,"Justin Herman Plaza","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.3952007,37.7951195
"180",2011,"200 block Market Street","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.3965345,37.7931317
"180",2011,"City Hall","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.4192646,37.7792597
"180",2011,"Polk & Larkin Streets","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-94.7419077,37.5433801
"180",2011,"Randall Museum","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.4381707,37.7644489
"180",2011,"555 Market St.","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand",-122.3998704,37.7899845
"24 Hours on Craigslist",2005,"","","Yerba Buena Productions","Zealot Pictures","Michael Ferris Gibson","N/A","Craig Newmark","","",-122.4194155,37.7749295
"A Night Full of Rain",1978,"Embarcadero Freeway","Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)","Liberty Film","Warner Bros. Pictures","Lina Wertmuller","Lina Wertmuller","Candice Bergen","Giancarlo Gianni","",-122.2495915,37.7876159
"A Night Full of Rain",1978,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Liberty Film","Warner Bros. Pictures","Lina Wertmuller","Lina Wertmuller","Candice Bergen","Giancarlo Gianni","",-122.4104443,37.7923897
"A Night Full of Rain",1978,"San Francisco Chronicle (901 Mission Street at 15th Street)","The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.","Liberty Film","Warner Bros. Pictures","Lina Wertmuller","Lina Wertmuller","Candice Bergen","Giancarlo Gianni","",-122.4065207,37.7822008
"A Night Full of Rain",1978,"Broadway (North Beach)","","Liberty Film","Warner Bros. Pictures","Lina Wertmuller","Lina Wertmuller","Candice Bergen","Giancarlo Gianni","",-122.4051988,37.7980657
"About a Boy",2014,"Broderick from Fulton to McAlister","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","",-122.4421325,37.7878648
"About a Boy",2014,"Crissy Field","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","",-122.4650165,37.8040257
"About a Boy",2014,"Powell from Bush and Sutter","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","",-122.408456,37.789146
"Age of Adaline",2015,"Pier 50- end of the pier","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn",-122.409821,37.808673
"Age of Adaline",2015,"California @ Montgomery","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn",-122.4036994,37.7973093
"Age of Adaline",2015,"Montgomery/Green","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn",-122.4042717,37.8001126
"Age of Adaline",2015,"Driving various SF Streets","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn",-122.41874,37.802139
"Age of Adaline",2015,"Plate Shots SF streets various","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn",-122.4203773,37.7451621
"After the Thin Man",1936,"Coit Tower","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.","Metro-Goldwyn Mayer","Metro-Goldwyn Mayer","W.S. Van Dyke","Frances Goodrich","William Powell","Myrna Loy","James Stewart",-122.4058222,37.8023949
"Ant-Man",2015,"California between Kearney and Davis","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4194155,37.7749295
"Americana",2015,"St. Francis Episcopal Church (399 San Fernando Way)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4698138,37.7303176
"Americana",2015,"Romolo Place @ Fresno St.","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4063965,37.7986013
"Americana",2015,"Palace of Fine Arts","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4486055,37.8020068
"Americana",2015,"John Shelley Drive John McLaren Park","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4187998,37.7221501
"Americana",2015,"Treasure Island","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.370648,37.8235515
"Americana",2015,"The San Francisco School (300 Gavin St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4113534,37.7327817
"Americana",2015,"33 Spruce St","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4544114,37.7903388
"Americana",2015,"Coi Restaurant (373 Broadway)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4034273,37.7980647
"Americana",2015,"Foreign Cinema (2534 Mission)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4190452,37.7564872
"Americana",2015,"Bernal Heights Park","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4139925,37.7433416
"Americana",2015,"Jackson St. at Spruce","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4541352,37.7899861
"Americana",2015,"679 Madrid St","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4347285,37.7187457
"Americana",2015,"Roxie Theater (3117 16th St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.422429,37.7646581
"Americana",2015,"Variety Preview Room (582 Market St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.401621,37.7894639
"Americana",2015,"Laguna Honda Hospital; 375 Laguna Honda Blvd.","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.456924,37.7489202
"Americana",2015,"3232 Jackson Ave.","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-122.4487806,37.7908862
"Americana",2015,"20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote",-89.3985283,40.6331249
"Another 48 Hours",1990,"","","Eddie Murphy Productions","Paramount Pictures","Walter Hill","Walter Hill","Eddie Murphy","Nick Nolte","",-122.4194155,37.7749295
"Ant-Man",2015,"Conzelman Rd at McCollough Rd and down Conzelman Rd.","Aerial shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.493902,37.833609
"Ant-Man",2015,"Lombard at Hyde","","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4196461,37.8020026
"Ant-Man",2015,"601 Buena Vista Ave West at Java St.","","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4440326,37.766921
"Ant-Man",2015,"420 Jones St. at Ellis St.","","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.412723,37.7852042
"Ant-Man",2015,"Broadway between Powell and Davis","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4194155,37.7749295
"Ant-Man",2015,"Columbus between Bay and Washington","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-82.9987942,39.9611755
"Ant-Man",2015,"Pine between Kearney and Davis","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4194155,37.7749295
"Ant-Man",2015,"Market between Stuart and Van Ness","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.420773,37.7841403
"Ant-Man",2015,"Grant between Bush and Broadway","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4096207,37.7897897
"Ant-Man",2015,"Intersection of Broadway at Kearney","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.3987098,37.7884721
"Ant-Man",2015,"Intersection of California at Polk","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.4186287,37.7761765
"Ant-Man",2015,"Treasure Island, Building #1, Ave of the Palms","Aerial and exterior shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari ","Michael Douglas","Paul Rudd","",-122.3707037,37.8172181
"Around the Fire",1998,"Ocean Beach","On Jan. 25, 1878, the King Philip ship crashed in Ocean Beach. Occasionally, the ship's wreckage may be found on the beach-- most recently it was seen in 2007. ","Paradigm Studio","Ardustry Home Entertainment","John Jacobsen","John Comerford","Tara Reid","","",-122.510734,37.7593921
"Attack of the Killer Tomatoes",1978,"Hyde Street Cable Car","SF Cable Cars are the only moving National Historical Landmark.","Four Square Productions","NAI Entertainment","John DeBello","John DeBello","David Miller","","",-122.4194215,37.8018748
"Basic Instinct",1992,"Yerba Buena Center for the Arts","","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.4021904,37.7856437
"Basic Instinct",1992,"Transbay Terminal (Mission Street at 1st Street)","Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.3927158,37.78991
"Basic Instinct",1992,"Tosca Café (242 Columbus Avenue)","","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.4059801,37.7975582
"Basic Instinct",1992,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species. ","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.4660947,37.7698646
"Basic Instinct",1992,"Raw Hide II (280 Seventh Street)","","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.4085215,37.7768471
"Basic Instinct",1992,"Pier 7 (The Embarcadero)","","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.3943664,37.8001077
"Basic Instinct",1992,"Kearney Street (Telegraph Hill)","","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.4062184,37.8016977
"Basic Instinct",1992,"Hall of Justice (850 Bryant Street)","","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.4040001,37.775146
"Basic Instinct",1992,"2930 Vallejo Street","","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.445618,37.7940738
"Basic Instinct",1992,"Chinatown","First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.4077914,37.7941378
"Basic Instinct",1992,"Gibb Street (Chinatown)","","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.4043631,37.7960492
"Basic Instinct",1992,"1158-70 Montgomery Street","","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.403972,37.799987
"Basic Instinct",1992,"2104 Broadway","","Carolco Pictures","TriStar Pictures","Paul Verhoeven","Joe Eszterhas","Michael Douglas","Sharon Stone","George Dzundza",-122.4321152,37.7949399
"Bedazzled",2000,"1155 Filbert Street at Hyde","","Twentieth Century Fox Film Corp.","Twentieth Century Fox Film Corp.","Harold Ramis","Harold Ramis","Brendan Fraser","Elizabeth Hurley","",-122.4185342,37.8001415
"Bedazzled",2000,"Washington Square Park (Filbert, between Stockton and Powell)","","Twentieth Century Fox Film Corp.","Twentieth Century Fox Film Corp.","Harold Ramis","Harold Ramis","Brendan Fraser","Elizabeth Hurley","",-122.41,37.8008333
"Blue Jasmine",2013,"5546 Geary Ave","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4792196,37.7806261
"Bedazzled",2000,"Vaillancourt Fountain (Justin Herman Plaza)","Installed in 1975, the Vaillancourt Fountain is officially titled, ""Québec Libre!"". The night before the sculpture's inauguration, artist Armand Vaillancourt inscribed ""Québec libre!"" in red letters on the sculpture. The next day when he noticed that the note had been erased, Vaillancourt jumped on the statue to re-inscribe his message. ","Twentieth Century Fox Film Corp.","Twentieth Century Fox Film Corp.","Harold Ramis","Harold Ramis","Brendan Fraser","Elizabeth Hurley","",-122.3953583,37.7954828
"Bedazzled",2000,"Montgomery & Market Streets","","Twentieth Century Fox Film Corp.","Twentieth Century Fox Film Corp.","Harold Ramis","Harold Ramis","Brendan Fraser","Elizabeth Hurley","",-86.3077368,32.3792233
"Bedazzled",2000,"City Hall","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","Twentieth Century Fox Film Corp.","Twentieth Century Fox Film Corp.","Harold Ramis","Harold Ramis","Brendan Fraser","Elizabeth Hurley","",-122.4192646,37.7792597
"Bee Season",2005,"","","Bee Season Productions","Fox Searchlight Pictures","Scott McGehee","David Siegel","Richard Gere","Juliette Binoche","",-122.4194155,37.7749295
"Bicentennial Man",1999,"City Hall","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","1492 Pictures","Buena Vista Pictures","Chris Columbus","Nicholas Kazan","Robin Williams","","",-122.4192646,37.7792597
"Bicentennial Man",1999,"Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","1492 Pictures","Buena Vista Pictures","Chris Columbus","Nicholas Kazan","Robin Williams","","",-122.4782551,37.8199286
"Bicentennial Man",1999,"Treasure Island","An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.","1492 Pictures","Buena Vista Pictures","Chris Columbus","Nicholas Kazan","Robin Williams","","",-122.370648,37.8235515
"Bicentennial Man",1999,"Postcard Row, Alamo Square, Hayes Valley","The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.","1492 Pictures","Buena Vista Pictures","Chris Columbus","Nicholas Kazan","Robin Williams","","",-122.432758,37.7762593
"Bicentennial Man",1999,"Grace Cathedral Episcopal Church (1100 California Street)","Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.","1492 Pictures","Buena Vista Pictures","Chris Columbus","Nicholas Kazan","Robin Williams","","",-122.4130261,37.7919185
"Big Eyes",2014,"Nobles Alley","","Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz",-122.4074452,37.8009791
"Big Eyes",2014,"Caffe Trieste","","Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz",-122.4073278,37.7986441
"Big Eyes",2014,"Palace of Fine Arts","","Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz",-122.4486055,37.8020068
"Big Eyes",2014,"1101 Filbert St. ","","Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz",-122.4177694,37.8001879
"Big Eyes",2014,"Saints Peter & Paul Church","","Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz",-98.1283758,29.7034527
"Big Eyes",2014,"Green St. & Grant Ave.","","Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz",-90.3483859,38.653595
"Big Eyes",2014,"Filbert St. & Leavenworth","","Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz",-122.4238833,37.7995352
"Big Eyes",2014,"Pine St. & Grant","","Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz",-95.9702947,36.1772763
"Big Eyes",2014,"Way Faire Inn on Leidesdorff","","Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz",-122.4102023,37.7729354
"Big Eyes",2014,"Harry's Bar on Fillmore","","Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz",-122.4335169,37.7883475
"Big Sur",2013,"Tosca Café (242 Columbus Avenue, North Beach)","","3311 Productions","","Michael Polish","Jack Kerouac & Michael Polish","Josh Lucas","Kate Bosworth","Stana Katic",-122.4059801,37.7975582
"Blue Jasmine",2013,"Jones & Pacific","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-79.2162565,41.842257
"Blue Jasmine",2013,"Pacific & Divisadero","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-124.508523,-8.783195
"Blue Jasmine",2013,"Lombard & Hyde","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-88.0078435,41.8800296
"Blue Jasmine",2013,"2898 Broadway","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.44471,37.793335
"Blue Jasmine",2013,"Motel Capri","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.433029,37.799185
"Blue Jasmine",2013,"Marina Green","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4393511,37.8069514
"Blue Jasmine",2013,"Ocean Beach at Lincoln","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.510734,37.7593921
"Blue Jasmine",2013,"Heald College","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4043355,37.7818349
"Blue Jasmine",2013,"Marina Blvd from Laguna to Baker","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.432185,37.805118
"Blue Jasmine",2013,"330 Santa Clara Ave.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4665605,37.7342703
"Blue Jasmine",2013,"200 Post St. ","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4053893,37.788804
"Blue Jasmine",2013,"2179 48th Ave","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.5072394,37.7455566
"Blue Jasmine",2013,"The Ramp Restaurant","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.3867726,37.7641206
"Blue Jasmine",2013,"303-305 S. Van Ness","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4176628,37.7682797
"Blue Jasmine",2013,"3563 20th St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.420399,37.7584616
"Blue Jasmine",2013,"Taylor & Green St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-97.0722855,36.1228572
"Blue Jasmine",2013,"Grant & Washington St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-95.6476231,37.04386
"Blue Jasmine",2013,"2934 24th St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4107118,37.7529598
"Blue Jasmine",2013,"1138 Alabama St","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4112992,37.75367
"Blue Jasmine",2013,"South Park","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.3938961,37.7816579
"Blue Jasmine",2013,"2915 16th St.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4179625,37.7650165
"Blue Jasmine",2013,"Trolley Car from Market and 11th","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4194155,37.7749295
"Blue Jasmine",2013,"Real Guitars","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4174864,37.7734127
"Blue Jasmine",2013,"Aub Zam Zam Bar","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.449291,37.769619
"Blue Jasmine",2013,"790 Ulloa ","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4647031,37.7408365
"Blue Jasmine",2013,"SFO International Airport Terminal 3","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.3874941,37.61993
"Blue Jasmine",2013,"2178 Palou Ave.","","Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard",-122.4015231,37.7406288
"Boys and Girls",2000,"1122 Folsom Street","","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","",-122.4086985,37.7763832
"Boys and Girls",2000,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","",-87.8466472,42.6173425
"Boys and Girls",2000,"Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","",-122.4782551,37.8199286
"Boys and Girls",2000,"Fisherman's Wharf","Supposedly, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","",-122.4177434,37.8079996
"Boys and Girls",2000,"Ferry Building","Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","",-122.3933208,37.7955703
"Boys and Girls",2000,"Coit Tower","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","",-122.4058222,37.8023949
"Boys and Girls",2000,"City Hall","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","",-122.4192646,37.7792597
"Boys and Girls",2000,"Lombard Street","Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan","",-122.4267626,37.8009851
